Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified,Date,Latitude,Longitude
BL0,NO,2018-05-23,6.6,ug m-3,R,2018-05-23,51.522287,-0.125848
BL0,NO,2018-05-24,9.6,ug m-3,R,2018-05-24,51.522287,-0.125848
BL0,NO,2018-05-25,5.3,ug m-3,R,2018-05-25,51.522287,-0.125848
BL0,NO,2018-05-26,3.4,ug m-3,R,2018-05-26,51.522287,-0.125848
BL0,NO,2018-05-27,1.9,ug m-3,R,2018-05-27,51.522287,-0.125848
BL0,NO,2018-05-28,3.2,ug m-3,R,2018-05-28,51.522287,-0.125848
BL0,NO,2018-05-29,6.7,ug m-3,R,2018-05-29,51.522287,-0.125848
BL0,NO,2018-05-30,5.7,ug m-3,R,2018-05-30,51.522287,-0.125848
BL0,NO,2018-05-31,6.6,ug m-3,R,2018-05-31,51.522287,-0.125848
BL0,NO,2018-06-01,1.8,ug m-3,R,2018-06-01,51.522287,-0.125848
BL0,NO,2018-06-02,1.6,ug m-3,R,2018-06-02,51.522287,-0.125848
BL0,NO,2018-06-03,3.2,ug m-3,R,2018-06-03,51.522287,-0.125848
BL0,NO,2018-06-04,4.9,ug m-3,R,2018-06-04,51.522287,-0.125848
BL0,NO,2018-06-05,5.3,ug m-3,R,2018-06-05,51.522287,-0.125848
BL0,NO,2018-06-06,6.4,ug m-3,R,2018-06-06,51.522287,-0.125848
BL0,NO,2018-06-07,8.4,ug m-3,R,2018-06-07,51.522287,-0.125848
BL0,NO,2018-06-08,4.9,ug m-3,R,2018-06-08,51.522287,-0.125848
BL0,NO,2018-06-09,3.0,ug m-3,R,2018-06-09,51.522287,-0.125848
BL0,NO,2018-06-10,3.2,ug m-3,R,2018-06-10,51.522287,-0.125848
BL0,NO,2018-06-11,5.4,ug m-3,R,2018-06-11,51.522287,-0.125848
BL0,NO,2018-06-12,8.1,ug m-3,R,2018-06-12,51.522287,-0.125848
BL0,NO,2018-06-13,4.4,ug m-3,R,2018-06-13,51.522287,-0.125848
BL0,NO,2018-06-14,3.4,ug m-3,R,2018-06-14,51.522287,-0.125848
BL0,NO,2018-06-15,3.2,ug m-3,R,2018-06-15,51.522287,-0.125848
BL0,NO,2018-06-16,1.1,ug m-3,R,2018-06-16,51.522287,-0.125848
BL0,NO,2018-06-17,0.9,ug m-3,R,2018-06-17,51.522287,-0.125848
BL0,NO,2018-06-18,2.3,ug m-3,R,2018-06-18,51.522287,-0.125848
BL0,NO,2018-06-19,4.5,ug m-3,R,2018-06-19,51.522287,-0.125848
BL0,NO,2018-06-20,6.6,ug m-3,R,2018-06-20,51.522287,-0.125848
BL0,NO,2018-06-21,8.7,ug m-3,R,2018-06-21,51.522287,-0.125848
BL0,NO,2018-06-22,8.2,ug m-3,R,2018-06-22,51.522287,-0.125848
BL0,NO,2018-06-23,7.2,ug m-3,R,2018-06-23,51.522287,-0.125848
BL0,NO,2018-06-24,2.7,ug m-3,R,2018-06-24,51.522287,-0.125848
BL0,NO,2018-06-25,2.7,ug m-3,R,2018-06-25,51.522287,-0.125848
BL0,NO,2018-06-26,7.1,ug m-3,R,2018-06-26,51.522287,-0.125848
BL0,NO,2018-06-27,7.1,ug m-3,R,2018-06-27,51.522287,-0.125848
BL0,NO,2018-06-28,6.0,ug m-3,R,2018-06-28,51.522287,-0.125848
BL0,NO,2018-06-29,6.3,ug m-3,R,2018-06-29,51.522287,-0.125848
BL0,NO,2018-06-30,3.3,ug m-3,R,2018-06-30,51.522287,-0.125848
BL0,NO,2018-07-01,2.1,ug m-3,R,2018-07-01,51.522287,-0.125848
BL0,NO,2018-07-02,3.5,ug m-3,R,2018-07-02,51.522287,-0.125848
BL0,NO,2018-07-03,4.3,ug m-3,R,2018-07-03,51.522287,-0.125848
BL0,NO,2018-07-04,4.6,ug m-3,R,2018-07-04,51.522287,-0.125848
BL0,NO,2018-07-05,3.9,ug m-3,R,2018-07-05,51.522287,-0.125848
BL0,NO,2018-07-06,3.7,ug m-3,R,2018-07-06,51.522287,-0.125848
BL0,NO,2018-07-07,3.4,ug m-3,R,2018-07-07,51.522287,-0.125848
BL0,NO,2018-07-08,2.0,ug m-3,R,2018-07-08,51.522287,-0.125848
BL0,NO,2018-07-09,7.0,ug m-3,R,2018-07-09,51.522287,-0.125848
BL0,NO,2018-07-10,7.8,ug m-3,R,2018-07-10,51.522287,-0.125848
BL0,NO,2018-07-11,7.1,ug m-3,R,2018-07-11,51.522287,-0.125848
BL0,NO,2018-07-12,5.4,ug m-3,R,2018-07-12,51.522287,-0.125848
BL0,NO,2018-07-13,5.1,ug m-3,R,2018-07-13,51.522287,-0.125848
BL0,NO,2018-07-14,1.7,ug m-3,R,2018-07-14,51.522287,-0.125848
