Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,FINE,15/08/2018 00:00,,ug/m3,P
BL0,FINE,16/08/2018 00:00,,ug/m3,P
BL0,FINE,17/08/2018 00:00,,ug/m3,P
BL0,FINE,18/08/2018 00:00,,ug/m3,P
BL0,FINE,19/08/2018 00:00,,ug/m3,P
BL0,FINE,20/08/2018 00:00,,ug/m3,P
BL0,FINE,21/08/2018 00:00,,ug/m3,P
BL0,FINE,22/08/2018 00:00,,ug/m3,P
BL0,FINE,23/08/2018 00:00,,ug/m3,P
BL0,FINE,24/08/2018 00:00,,ug/m3,P
BL0,FINE,25/08/2018 00:00,,ug/m3,P
BL0,FINE,26/08/2018 00:00,,ug/m3,P
BL0,FINE,27/08/2018 00:00,,ug/m3,P
BL0,FINE,28/08/2018 00:00,,ug/m3,P
BL0,FINE,29/08/2018 00:00,,ug/m3,P
BL0,FINE,30/08/2018 00:00,,ug/m3,P
BL0,FINE,31/08/2018 00:00,,ug/m3,P
BL0,FINE,01/09/2018 00:00,,ug/m3,P
BL0,FINE,02/09/2018 00:00,,ug/m3,P
BL0,FINE,03/09/2018 00:00,,ug/m3,P
BL0,FINE,04/09/2018 00:00,,ug/m3,P
BL0,FINE,05/09/2018 00:00,,ug/m3,P
BL0,FINE,06/09/2018 00:00,,ug/m3,P
BL0,FINE,07/09/2018 00:00,,ug/m3,P
BL0,FINE,08/09/2018 00:00,,ug/m3,P
BL0,FINE,09/09/2018 00:00,,ug/m3,P
BL0,FINE,10/09/2018 00:00,,ug/m3,P
BL0,FINE,11/09/2018 00:00,,ug/m3,P
BL0,FINE,12/09/2018 00:00,,ug/m3,P
BL0,FINE,13/09/2018 00:00,,ug/m3,P
BL0,FINE,14/09/2018 00:00,,ug/m3,P
BL0,FINE,15/09/2018 00:00,,ug/m3,P
BL0,FINE,16/09/2018 00:00,,ug/m3,P
BL0,FINE,17/09/2018 00:00,,ug/m3,P
BL0,FINE,18/09/2018 00:00,,ug/m3,P
BL0,FINE,19/09/2018 00:00,,ug/m3,P
BL0,FINE,20/09/2018 00:00,,ug/m3,P
BL0,FINE,21/09/2018 00:00,,ug/m3,P
BL0,FINE,22/09/2018 00:00,,ug/m3,P
