Date,PM10_weighted_value(ug m-3)
2019-03-06,14.6
2019-03-07,7.9
2019-03-08,10.9
2019-03-09,18.9
2019-03-10,6.4
2019-03-11,11.5
2019-03-12,8.3
2019-03-13,14.8
2019-03-14,10.9
2019-03-15,5.4
2019-03-16,9.6
2019-03-17,5.1
2019-03-18,11.8
2019-03-19,16.2
2019-03-20,12.0
2019-03-21,14.2
2019-03-22,15.8
2019-03-23,21.3
2019-03-24,18.9
2019-03-25,15.9
2019-03-26,25.0
2019-03-27,17.4
2019-03-28,25.9
2019-03-29,40.5
2019-03-30,56.3
2019-03-31,30.7
2019-04-01,21.7
2019-04-02,25.9
2019-04-03,15.7
2019-04-04,11.2
2019-04-05,19.1
2019-04-06,21.6
2019-04-07,51.2
2019-04-08,50.2
2019-04-09,42.2
2019-04-10,18.6
2019-04-11,16.3
2019-04-12,18.4
2019-04-13,15.9
2019-04-14,22.4
2019-04-15,40.7
2019-04-16,60.1
2019-04-17,65.8
2019-04-18,60.7
2019-04-19,41.2
2019-04-20,40.2
2019-04-21,40.7
2019-04-22,63.8
2019-04-23,44.5
2019-04-24,31.4
2019-04-25,11.4
2019-04-26,12.7
2019-04-27,11.1
2019-04-28,11.8
2019-04-29,22.7
2019-04-30,15.74
2019-05-01,27.0
2019-05-02,16.4
2019-05-03,17.2
2019-05-04,12.5
2019-05-05,16.5
2019-05-06,10.8
2019-05-07,17.8
2019-05-08,15.6
2019-05-09,16.7
2019-05-10,14.4
2019-05-11,18.8
2019-05-12,11.6
2019-05-13,13.8
2019-05-14,13.9
2019-05-15,26.6
2019-05-16,21.0
2019-05-17,19.9
2019-05-18,24.2
2019-05-19,25.4
2019-05-20,20.8
2019-05-21,13.6
2019-05-22,13.7
2019-05-23,14.3
2019-05-24,16.0
2019-05-25,11.4
2019-05-26,9.9
2019-05-27,10.9
2019-05-28,8.1
2019-05-29,12.4
2019-05-30,12.9
2019-05-31,8.6
2019-06-01,12.5
2019-06-02,13.2
2019-06-03,15.1
2019-06-04,16.5
2019-06-05,11.5
2019-06-06,10.6
2019-06-07,13.8
2019-06-08,9.6
2019-06-09,10.1
2019-06-10,10.8
2019-06-11,10.8
2019-06-12,10.0
2019-06-13,10.9
2019-06-14,10.7
2019-06-15,10.8
2019-06-16,10.6
2019-06-17,11.1
2019-06-18,16.3
2019-06-19,19.2
2019-06-20,11.5
2019-06-21,10.8
2019-06-22,12.8
2019-06-23,28.4
2019-06-24,29.8
2019-06-25,25.7
2019-06-26,16.7
2019-06-27,14.8
2019-06-28,21.8
2019-06-29,27.5
2019-06-30,13.8
2019-07-01,10.7
2019-07-02,13.4
2019-07-03,15.0
2019-07-04,14.9
2019-07-05,17.3
2019-07-06,12.5
2019-07-07,14.6
2019-07-08,14.8
2019-07-09,16.1
2019-07-10,17.9
2019-07-11,14.3
2019-07-12,11.9
2019-07-13,13.6
2019-07-14,12.0
2019-07-15,12.55
2019-07-16,12.18
2019-07-17,11.8
2019-07-18,13.45
2019-07-19,17.3
2019-07-20,16.9
2019-07-21,21.85
2019-07-22,18.0
2019-07-23,12.325
2019-07-24,17.375
2019-07-25,16.025
2019-07-26,18.5
2019-07-27,10.8
2019-07-28,10.0
2019-07-29,12.6
2019-07-30,14.7
2019-07-31,11.0
2019-08-01,14.1
2019-08-02,17.4
2019-08-03,13.4
2019-08-04,15.7
2019-08-05,12.2
2019-08-06,12.8
2019-08-07,9.6
2019-08-08,10.1
2019-08-09,13.9
2019-08-10,17.5
2019-08-11,13.7
2019-08-12,11.2
2019-08-13,8.8
2019-08-14,9.0
2019-08-15,9.8
2019-08-16,11.7
2019-08-17,11.8
2019-08-18,10.5
2019-08-19,10.3
2019-08-20,12.040000000000001
2019-08-21,14.8
2019-08-22,14.0
2019-08-23,17.2
2019-08-24,36.6
2019-08-25,41.2
2019-08-26,30.7
2019-08-27,34.2
2019-08-28,11.3
2019-08-29,10.9
2019-08-30,13.2
2019-08-31,12.4
2019-09-01,7.4
2019-09-02,12.1
2019-09-03,9.7
2019-09-04,7.9
2019-09-05,10.5
2019-09-06,12.3
2019-09-07,11.1
2019-09-08,10.3
2019-09-09,13.0
2019-09-10,20.5
2019-09-11,9.1
2019-09-12,9.8
2019-09-13,14.2
2019-09-14,15.1
2019-09-15,13.7
2019-09-16,14.3
2019-09-17,13.4
2019-09-18,16.7
2019-09-19,17.4
2019-09-20,23.0
2019-09-21,25.9
2019-09-22,15.8
2019-09-23,9.3
2019-09-24,9.2
2019-09-25,7.4
2019-09-26,10.9
2019-09-27,12.1
2019-09-28,10.1
2019-09-29,6.8
2019-09-30,8.6
2019-10-01,10.9
2019-10-02,9.4
2019-10-03,15.6
2019-10-04,16.5
2019-10-05,13.7
2019-10-06,10.7
2019-10-07,9.6
2019-10-08,14.6
2019-10-09,8.9
2019-10-10,12.4
2019-10-11,9.0
2019-10-12,7.7
2019-10-13,8.9
2019-10-14,13.6
2019-10-15,10.3
2019-10-16,11.4
2019-10-17,10.9
2019-10-18,11.3
2019-10-19,10.4
2019-10-20,12.9
2019-10-21,10.2
2019-10-22,15.5
2019-10-23,28.6
2019-10-24,26.4
2019-10-25,12.0
2019-10-26,12.2
2019-10-27,12.4
2019-10-28,17.4
2019-10-29,12.4
2019-10-30,21.5
2019-10-31,37.9
2019-11-01,16.4
2019-11-02,12.0
2019-11-03,14.2
2019-11-04,13.9
2019-11-05,16.9
2019-11-06,25.4
2019-11-07,9.8
2019-11-08,17.7
2019-11-09,16.4
2019-11-10,15.4
2019-11-11,11.8
2019-11-12,8.8
2019-11-13,11.2
2019-11-14,10.0
2019-11-15,17.4
2019-11-16,19.6
2019-11-17,29.4
2019-11-18,11.9
2019-11-19,26.5
2019-11-20,16.5
2019-11-21,31.6
2019-11-22,12.6
2019-11-23,21.0
2019-11-24,22.4
2019-11-25,11.4
2019-11-26,11.2
2019-11-27,10.9
2019-11-28,13.5
2019-11-29,17.7
2019-11-30,26.2
2019-12-01,12.2
2019-12-02,22.2
2019-12-03,20.8
2019-12-04,28.8
2019-12-05,24.9
2019-12-06,7.5
2019-12-07,10.6
2019-12-08,11.6
2019-12-09,11.5
2019-12-10,13.2
2019-12-11,11.9
2019-12-12,9.8
2019-12-13,11.8
2019-12-14,13.9
2019-12-15,10.8
2019-12-16,11.3
2019-12-17,12.3
2019-12-18,13.8
2019-12-19,16.6
2019-12-20,7.9
2019-12-21,9.2
2019-12-22,10.6
2019-12-23,12.9
2019-12-24,12.3
2019-12-25,10.5
2019-12-26,11.9
2019-12-27,17.8
2019-12-28,19.4
2019-12-29,20.4
2019-12-30,25.0
2019-12-31,28.6
2020-01-01,39.5
2020-01-02,11.9
2020-01-03,10.5
2020-01-04,11.6
2020-01-05,7.1
2020-01-06,13.2
2020-01-07,16.4
2020-01-08,19.2
2020-01-09,9.1
2020-01-10,10.7
2020-01-11,12.9
2020-01-12,7.1
2020-01-13,17.425
2020-01-14,23.049999999999997
2020-01-15,15.5
2020-01-16,11.620000000000001
2020-01-17,16.080000000000002
2020-01-18,14.8
2020-01-19,18.0
2020-01-20,33.5
2020-01-21,38.1
2020-01-22,19.133333333333333
2020-01-23,18.166666666666668
2020-01-24,19.1
2020-01-25,26.2
2020-01-26,21.4
2020-01-27,9.6
2020-01-28,7.7
2020-01-29,13.9
2020-01-30,9.8
2020-01-31,5.2
2020-02-01,13.0
2020-02-02,15.5
2020-02-03,14.6
2020-02-04,11.8
2020-02-05,23.8
2020-02-06,28.5
