Date,NO2_weighted_value(ug m-3)
2019-01-31,64.8
2019-02-01,54.6
2019-02-02,50.9
2019-02-03,55.3
2019-02-04,51.2
2019-02-05,48.0
2019-02-06,54.1
2019-02-07,49.0
2019-02-08,42.7
2019-02-09,42.9
2019-02-10,48.5
2019-02-11,62.8
2019-02-12,64.6
2019-02-13,54.5
2019-02-14,62.0
2019-02-15,66.9
2019-02-16,56.8
2019-02-17,51.4
2019-02-18,61.3
2019-02-19,59.6
2019-02-20,56.6
2019-02-21,62.7
2019-02-22,54.7
2019-02-23,49.3
2019-02-24,60.3
2019-02-25,75.4
2019-02-26,84.3
2019-02-27,91.1
2019-02-28,67.2
2019-03-01,54.5
2019-03-02,45.2
2019-03-03,37.5
2019-03-04,49.6
2019-03-05,56.3
2019-03-06,40.4
2019-03-07,41.0
2019-03-08,58.4
2019-03-09,41.3
2019-03-10,36.4
2019-03-11,41.1
2019-03-12,45.8
2019-03-13,40.3
2019-03-14,44.1
2019-03-15,38.6
2019-03-16,36.8
2019-03-17,39.8
2019-03-18,62.9
2019-03-19,65.0
2019-03-20,65.8
2019-03-21,58.7
2019-03-22,59.6
2019-03-23,50.7
2019-03-24,54.3
2019-03-25,55.0
2019-03-26,80.8
2019-03-27,73.3
2019-03-28,78.5
2019-03-29,80.9
2019-03-30,85.5
2019-03-31,28.1
2019-04-01,44.8
2019-04-02,68.3
2019-04-03,67.5
2019-04-04,41.5
2019-04-05,44.2
2019-04-06,37.9
2019-04-07,50.2
2019-04-08,74.7
2019-04-09,59.4
2019-04-10,39.8
2019-04-11,46.7
2019-04-12,46.9
2019-04-13,38.5
2019-04-14,37.3
2019-04-15,45.4
2019-04-16,74.5
2019-04-17,68.1
2019-04-18,55.7
2019-04-19,60.2
2019-04-20,56.0
2019-04-21,54.2
2019-04-22,71.1
2019-04-23,70.2
2019-04-24,54.5
2019-04-25,42.2
2019-04-26,49.4
2019-04-27,30.1
2019-04-28,42.2
2019-04-29,51.1
2019-04-30,49.2
2019-05-01,62.4
2019-05-02,54.7
2019-05-03,60.7
2019-05-04,47.6
2019-05-05,51.2
2019-05-06,43.2
2019-05-07,52.6
2019-05-08,58.1
2019-05-09,67.4
2019-05-10,60.7
2019-05-11,66.0
2019-05-12,45.6
2019-05-13,39.5
2019-05-14,34.5
2019-05-15,44.1
2019-05-16,39.8
2019-05-17,59.4
2019-05-18,68.8
2019-05-19,64.8
2019-05-20,70.5
2019-05-21,67.4
2019-05-22,69.0
2019-05-23,76.2
2019-05-24,62.3
2019-05-25,51.2
2019-05-26,35.7
2019-05-27,37.0
2019-05-28,49.6
2019-05-29,46.2
2019-05-30,42.2
2019-05-31,46.0
2019-06-01,47.3
2019-06-02,45.9
2019-06-03,47.1
2019-06-04,47.9
2019-06-05,51.2
2019-06-06,45.8
2019-06-07,43.5
2019-06-08,35.5
2019-06-09,42.3
2019-06-10,66.8
2019-06-11,48.7
2019-06-12,63.8
2019-06-13,46.0
2019-06-14,39.3
2019-06-15,39.3
2019-06-16,35.9
2019-06-17,50.2
2019-06-18,59.3
2019-06-19,64.9
2019-06-20,51.3
2019-06-21,55.8
2019-06-22,32.8
2019-06-23,34.3
2019-06-24,61.7
2019-06-25,67.4
2019-06-26,43.7
2019-06-27,20.8
2019-06-28,24.3
2019-06-29,48.8
2019-06-30,31.9
2019-07-01,37.6
2019-07-02,55.7
2019-07-03,41.8
2019-07-04,58.8
2019-07-05,65.7
2019-07-06,47.2
2019-07-07,27.2
2019-07-08,38.0
2019-07-09,56.3
2019-07-10,57.2
2019-07-11,50.9
2019-07-12,40.4
2019-07-13,45.3
2019-07-14,41.8
2019-07-15,42.5
2019-07-16,53.1
2019-07-17,57.6
2019-07-18,40.6
2019-07-19,52.1
2019-07-20,36.1
2019-07-21,36.9
2019-07-22,39.9
2019-07-23,40.0
2019-07-24,66.1
2019-07-25,66.0
2019-07-26,53.1
2019-07-27,39.6
2019-07-28,32.3
2019-07-29,38.5
2019-07-30,28.8
2019-07-31,39.7
2019-08-01,53.9
2019-08-02,57.9
2019-08-03,34.8
2019-08-04,34.7
2019-08-05,47.7
2019-08-06,45.2
2019-08-07,58.1
2019-08-08,49.6
2019-08-09,37.5
2019-08-10,41.6
2019-08-11,44.7
2019-08-12,54.7
2019-08-13,55.9
2019-08-14,41.5
2019-08-15,44.1
2019-08-16,36.0
2019-08-17,37.8
2019-08-18,39.6
2019-08-19,46.4
2019-08-20,52.1
2019-08-21,53.6
2019-08-22,61.8
2019-08-23,51.4
2019-08-24,68.8
2019-08-25,72.0
2019-08-26,80.9
2019-08-27,77.1
2019-08-28,52.1
2019-08-29,48.2
2019-08-30,48.2
2019-08-31,49.4
2019-09-01,39.8
2019-09-02,51.3
2019-09-03,45.1
2019-09-04,31.4
2019-09-05,45.2
2019-09-06,53.7
2019-09-07,45.6
2019-09-08,48.7
2019-09-09,43.2
2019-09-10,55.2
2019-09-11,39.6
2019-09-12,37.8
2019-09-13,44.3
2019-09-14,58.7
2019-09-15,51.2
2019-09-16,45.0
2019-09-17,45.9
2019-09-18,52.1
2019-09-19,53.2
