Date,NO2_weighted_value(ug m-3)
2020-11-24,22.2
2020-11-25,27.0
2020-11-26,46.7
2020-11-27,45.8
2020-11-28,45.7
2020-11-29,36.0
2020-11-30,28.2
2020-12-01,25.6
2020-12-02,52.0
2020-12-03,40.0
2020-12-04,32.2
2020-12-05,31.0
2020-12-06,31.1
2020-12-07,41.0
2020-12-08,50.2
2020-12-09,42.3
2020-12-10,30.4
2020-12-11,40.2
2020-12-12,28.6
2020-12-13,26.1
2020-12-14,23.5
2020-12-15,30.7
2020-12-16,24.7
2020-12-17,22.6
2020-12-18,14.3
2020-12-19,15.1
2020-12-20,18.9
2020-12-21,15.4
2020-12-22,28.2
2020-12-23,18.8
2020-12-24,8.6
2020-12-25,16.7
2020-12-26,10.2
2020-12-27,15.3
2020-12-28,29.3
2020-12-29,16.0
2020-12-30,37.2
2020-12-31,24.8
2021-01-01,22.0
2021-01-02,17.9
2021-01-03,13.0
2021-01-04,10.5
2021-01-05,12.1
2021-01-06,19.2
2021-01-07,33.6
2021-01-08,35.8
2021-01-09,33.9
2021-01-10,26.5
2021-01-11,16.4
2021-01-12,22.4
2021-01-13,39.0
2021-01-14,23.4
2021-01-15,35.2
2021-01-16,24.3
2021-01-17,19.3
2021-01-18,29.3
2021-01-19,11.8
2021-01-20,12.5
2021-01-21,18.1
2021-01-22,34.4
2021-01-23,29.7
2021-01-24,41.8
2021-01-25,34.7
2021-01-26,42.2
2021-01-27,38.8
2021-01-28,24.1
2021-01-29,21.4
2021-01-30,18.9
2021-01-31,22.5
2021-02-01,25.1
2021-02-02,23.5
2021-02-03,26.9
2021-02-04,31.8
2021-02-05,23.1
2021-02-06,22.0
2021-02-07,7.8
2021-02-08,13.1
2021-02-09,15.0
2021-02-10,24.7
2021-02-11,29.2
2021-02-12,21.9
2021-02-13,19.0
2021-02-14,16.9
2021-02-15,25.3
2021-02-16,23.8
2021-02-17,17.9
2021-02-18,17.1
2021-02-19,19.5
2021-02-20,14.1
2021-02-21,25.1
2021-02-22,46.3
2021-02-23,19.0
2021-02-24,19.1
2021-02-25,27.4
2021-02-26,45.5
2021-02-27,44.5
2021-02-28,24.9
2021-03-01,18.2
2021-03-02,29.3
2021-03-03,44.5
2021-03-04,21.9
2021-03-05,16.9
2021-03-06,23.3
2021-03-07,34.1
2021-03-08,56.9
2021-03-09,28.9
2021-03-10,17.6
2021-03-11,9.6
2021-03-12,15.0
2021-03-13,11.0
2021-03-14,10.6
2021-03-15,19.7
2021-03-16,20.9
2021-03-17,20.8
2021-03-18,20.8
2021-03-19,14.9
2021-03-20,21.4
2021-03-21,19.9
2021-03-22,30.3
2021-03-23,30.7
2021-03-24,24.6
2021-03-25,21.6
2021-03-26,15.8
2021-03-27,10.0
2021-03-28,8.4
2021-03-29,19.1
2021-03-30,58.0
2021-03-31,72.3
2021-04-01,18.5
2021-04-02,6.0
2021-04-03,7.2
2021-04-04,13.0
2021-04-05,7.7
2021-04-06,12.7
2021-04-07,17.7
2021-04-08,20.6
2021-04-09,17.8
2021-04-10,9.6
2021-04-11,14.4
2021-04-12,35.0
2021-04-13,47.8
2021-04-14,23.6
2021-04-15,19.8
2021-04-16,27.0
2021-04-17,25.3
2021-04-18,23.8
2021-04-19,34.5
2021-04-20,32.7
2021-04-21,26.3
2021-04-22,11.8
2021-04-23,21.4
2021-04-24,18.0
2021-04-25,5.2
