Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KC1,NOX,20/07/2018 00:00,33.80000,ug m-3 as NO2,R
KC1,NOX,21/07/2018 00:00,22.40000,ug m-3 as NO2,R
KC1,NOX,22/07/2018 00:00,21.80000,ug m-3 as NO2,R
KC1,NOX,23/07/2018 00:00,22.80000,ug m-3 as NO2,R
KC1,NOX,24/07/2018 00:00,19.70000,ug m-3 as NO2,R
KC1,NOX,25/07/2018 00:00,29.10000,ug m-3 as NO2,R
KC1,NOX,26/07/2018 00:00,38.40000,ug m-3 as NO2,R
KC1,NOX,27/07/2018 00:00,28.40000,ug m-3 as NO2,R
KC1,NOX,28/07/2018 00:00,9.10000,ug m-3 as NO2,R
KC1,NOX,29/07/2018 00:00,9.00000,ug m-3 as NO2,R
KC1,NOX,30/07/2018 00:00,12.60000,ug m-3 as NO2,R
KC1,NOX,31/07/2018 00:00,13.70000,ug m-3 as NO2,R
KC1,NOX,01/08/2018 00:00,19.30000,ug m-3 as NO2,R
KC1,NOX,02/08/2018 00:00,22.70000,ug m-3 as NO2,R
KC1,NOX,03/08/2018 00:00,32.30000,ug m-3 as NO2,R
KC1,NOX,04/08/2018 00:00,17.40000,ug m-3 as NO2,R
KC1,NOX,05/08/2018 00:00,26.30000,ug m-3 as NO2,R
KC1,NOX,06/08/2018 00:00,30.40000,ug m-3 as NO2,R
KC1,NOX,07/08/2018 00:00,30.00000,ug m-3 as NO2,R
KC1,NOX,08/08/2018 00:00,13.70000,ug m-3 as NO2,R
KC1,NOX,09/08/2018 00:00,41.80000,ug m-3 as NO2,R
KC1,NOX,10/08/2018 00:00,28.10000,ug m-3 as NO2,R
KC1,NOX,11/08/2018 00:00,30.00000,ug m-3 as NO2,R
KC1,NOX,12/08/2018 00:00,12.60000,ug m-3 as NO2,R
KC1,NOX,13/08/2018 00:00,21.20000,ug m-3 as NO2,R
KC1,NOX,14/08/2018 00:00,22.40000,ug m-3 as NO2,R
KC1,NOX,15/08/2018 00:00,15.20000,ug m-3 as NO2,R
KC1,NOX,16/08/2018 00:00,23.60000,ug m-3 as NO2,R
KC1,NOX,17/08/2018 00:00,26.10000,ug m-3 as NO2,R
KC1,NOX,18/08/2018 00:00,15.30000,ug m-3 as NO2,R
KC1,NOX,19/08/2018 00:00,9.10000,ug m-3 as NO2,R
KC1,NOX,20/08/2018 00:00,21.10000,ug m-3 as NO2,R
KC1,NOX,21/08/2018 00:00,23.10000,ug m-3 as NO2,R
KC1,NOX,22/08/2018 00:00,25.80000,ug m-3 as NO2,R
KC1,NOX,23/08/2018 00:00,17.50000,ug m-3 as NO2,R
KC1,NOX,24/08/2018 00:00,17.70000,ug m-3 as NO2,R
KC1,NOX,25/08/2018 00:00,44.50000,ug m-3 as NO2,R
KC1,NOX,26/08/2018 00:00,35.00000,ug m-3 as NO2,R
KC1,NOX,27/08/2018 00:00,18.30000,ug m-3 as NO2,R
KC1,NOX,28/08/2018 00:00,27.80000,ug m-3 as NO2,R
KC1,NOX,29/08/2018 00:00,37.30000,ug m-3 as NO2,R
KC1,NOX,30/08/2018 00:00,28.70000,ug m-3 as NO2,R
KC1,NOX,31/08/2018 00:00,37.50000,ug m-3 as NO2,R
KC1,NOX,01/09/2018 00:00,40.20000,ug m-3 as NO2,R
KC1,NOX,02/09/2018 00:00,42.30000,ug m-3 as NO2,R
KC1,NOX,03/09/2018 00:00,64.50000,ug m-3 as NO2,R
KC1,NOX,04/09/2018 00:00,22.10000,ug m-3 as NO2,R
