Date,NO_value,NO2_value,PM10_value,PM25_value,pedal_cycles_major,two_wheeled_motor_vehicles_major,cars_and_taxis_major,buses_and_coaches_major,lgvs_major,hgvs_2_rigid_axle_major,hgvs_3_rigid_axle_major,hgvs_4_or_more_rigid_axle_major,hgvs_3_or_4_articulated_axle_major,hgvs_5_articulated_axle_major,hgvs_6_articulated_axle_major,pedal_cycles_minor,two_wheeled_motor_vehicles_minor,cars_and_taxis_minor,buses_and_coaches_minor,lgvs_minor,hgvs_2_rigid_axle_minor,hgvs_3_rigid_axle_minor,hgvs_4_or_more_rigid_axle_minor,hgvs_3_or_4_articulated_axle_minor,hgvs_5_articulated_axle_minor,hgvs_6_articulated_axle_minor,EntryTapCount,ExitTapCount
2018-04-13,60.6,59.1,20.6,26.7,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-14,27.5,53.9,19.6,36.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-15,15.9,48.1,25.6,25.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-16,26.8,59.9,35.8,12.7,,,,,,,,,,,,18.44,8.76,95.54,2.72,24.97,3.01,0.52,0.41,0.12,0.0,0.0,,
2018-04-17,16.15,40.0,30.0,11.4,,,,,,,,,,,,18.48,8.77,95.56,2.74,25.01,3.0,0.52,0.41,0.12,0.0,0.0,,
2018-04-18,9.2,37.6,28.2,17.1,,,,,,,,,,,,18.52,8.78,95.58,2.76,25.05,3.0,0.52,0.41,0.12,0.0,0.0,,
2018-04-19,40.1,84.7,28.4,32.6,79.89,47.31,510.88,66.77,162.42,20.42,3.16,3.34,0.61,0.77,0.74,18.56,8.79,95.59,2.77,25.08,3.0,0.52,0.41,0.12,0.0,0.0,,
2018-04-20,48.7,70.5,31.0,23.6,79.75,47.28,510.3,66.68,162.19,20.4,3.15,3.34,0.61,0.77,0.74,18.59,8.8,95.61,2.79,25.12,3.0,0.52,0.41,0.12,0.0,0.0,,
2018-04-21,16.6,60.3,33.8,35.1,79.61,47.25,509.73,66.59,161.96,20.38,3.15,3.34,0.61,0.77,0.74,18.63,8.81,95.63,2.81,25.15,3.0,0.52,0.41,0.12,0.0,0.0,,
2018-04-22,18.7,54.7,33.4,23.4,79.47,47.22,509.16,66.51,161.74,20.36,3.15,3.34,0.61,0.77,0.74,18.67,8.82,95.65,2.83,25.19,3.0,0.53,0.42,0.12,0.0,0.0,,
2018-04-23,30.4,50.8,29.2,11.1,79.34,47.19,508.59,66.42,161.51,20.34,3.14,3.33,0.61,0.77,0.74,18.71,8.83,95.66,2.85,25.23,3.0,0.53,0.42,0.12,0.0,0.0,,
