Date,PM25_weighted_value(ug m-3)
2019-02-07,14.8
2019-02-08,13.8
2019-02-09,14.2
2019-02-10,10.8
2019-02-11,13.7
2019-02-12,20.9
2019-02-13,23.5
2019-02-14,32.2
2019-02-15,39.0
2019-02-16,31.8
2019-02-17,26.1
2019-02-18,16.7
2019-02-19,15.3
2019-02-20,17.0
2019-02-21,23.5
2019-02-22,34.2
2019-02-23,38.4
2019-02-24,42.9
2019-02-25,46.4
2019-02-26,47.0
2019-02-27,55.0
2019-02-28,33.2
2019-03-01,26.0
2019-03-02,14.2
2019-03-03,9.5
2019-03-04,10.1
2019-03-05,11.5
2019-03-06,13.5
2019-03-07,14.25
2019-03-08,13.8
2019-03-09,15.0
2019-03-10,9.4
2019-03-11,10.6
2019-03-12,10.8
2019-03-13,12.1
2019-03-14,11.8
2019-03-15,10.3
2019-03-16,10.7
2019-03-17,8.2
2019-03-18,13.2
2019-03-19,20.4
2019-03-20,16.9
2019-03-21,18.5
2019-03-22,20.9
2019-03-23,16.7
2019-03-24,14.4
2019-03-25,10.4
2019-03-26,18.5
2019-03-27,13.5
2019-03-28,22.5
2019-03-29,34.4
2019-03-30,47.3
2019-03-31,22.9
2019-04-01,14.0
2019-04-02,23.9
2019-04-03,14.8
2019-04-04,11.6
2019-04-05,16.3
2019-04-06,15.9
2019-04-07,43.6
2019-04-08,44.4
2019-04-09,32.3
2019-04-10,12.3
2019-04-11,13.0
2019-04-12,15.2
2019-04-13,15.8
2019-04-14,21.0
2019-04-15,35.9
2019-04-16,48.9
2019-04-17,51.5
2019-04-18,48.2
2019-04-19,31.1
2019-04-20,30.1
2019-04-21,33.9
2019-04-22,50.2
2019-04-23,32.5
2019-04-24,26.9
2019-04-25,11.0
2019-04-26,12.3
2019-04-27,12.0
2019-04-28,9.3
2019-04-29,18.2
2019-04-30,25.0
2019-05-01,22.8
2019-05-02,13.1
2019-05-03,13.7
2019-05-04,6.7
2019-05-05,12.0
2019-05-06,10.3
2019-05-07,16.6
2019-05-08,15.3
2019-05-09,15.799999999999999
2019-05-10,10.066666666666666
2019-05-11,8.0
2019-05-12,9.5
2019-05-13,10.233333333333333
2019-05-14,13.3
2019-05-15,22.3
2019-05-16,18.4
2019-05-17,16.6
2019-05-18,22.4
2019-05-19,24.0
2019-05-20,19.8
2019-05-21,11.3
2019-05-22,14.0
2019-05-23,14.9
2019-05-24,14.1
2019-05-25,12.0
2019-05-26,13.9
2019-05-27,11.6
2019-05-28,8.7
2019-05-29,14.9
2019-05-30,15.5
2019-05-31,14.7
2019-06-01,15.2
2019-06-02,12.6
2019-06-03,15.2
2019-06-04,17.5
2019-06-05,12.8
2019-06-06,8.5
2019-06-07,9.4
2019-06-08,6.9
2019-06-09,7.7
2019-06-10,5.7
2019-06-11,9.333333333333334
2019-06-12,6.8
2019-06-13,10.0
2019-06-14,8.7
2019-06-15,7.7
2019-06-16,7.0
2019-06-17,9.0
2019-06-18,11.0
2019-06-19,13.6
2019-06-20,9.3
2019-06-21,7.9
2019-06-22,8.3
2019-06-23,18.7
2019-06-24,23.7
2019-06-25,15.8
2019-06-26,8.5
2019-06-27,8.7
2019-06-28,11.5
2019-06-29,15.4
2019-06-30,7.233333333333333
2019-07-01,10.699999999999998
2019-07-02,11.6
2019-07-03,9.766666666666667
2019-07-04,10.166666666666666
2019-07-05,12.666666666666666
2019-07-06,5.4
2019-07-07,14.6
2019-07-08,10.733333333333334
2019-07-09,12.0
2019-07-10,15.2
2019-07-11,10.7
2019-07-12,5.5
2019-07-13,5.7
2019-07-14,4.6
2019-07-15,4.6
2019-07-16,10.6
2019-07-17,13.3
2019-07-18,8.7
2019-07-19,6.8
2019-07-20,4.8
2019-07-21,5.0
2019-07-22,9.2
2019-07-23,11.8
2019-07-24,15.6
2019-07-25,15.4
2019-07-26,10.3
2019-07-27,13.2
2019-07-28,3.2
2019-07-29,7.75
2019-07-30,8.75
2019-07-31,11.733333333333334
2019-08-01,8.766666666666667
2019-08-02,8.633333333333333
2019-08-03,8.566666666666666
2019-08-04,8.866666666666665
2019-08-05,8.299999999999999
2019-08-06,10.133333333333333
2019-08-07,6.8
2019-08-08,7.4
2019-08-09,7.1
2019-08-10,8.1
2019-08-11,6.9
2019-08-12,7.5
2019-08-13,5.6
2019-08-14,7.9
2019-08-15,5.5
2019-08-16,7.9
2019-08-17,7.3
2019-08-18,6.9
2019-08-19,7.4
2019-08-20,8.9
2019-08-21,10.3
2019-08-22,10.8
2019-08-23,11.6
2019-08-24,23.9
2019-08-25,31.2
2019-08-26,25.1
2019-08-27,8.033333333333333
2019-08-28,9.5
2019-08-29,6.5
2019-08-30,8.3
2019-08-31,8.1
2019-09-01,3.5
2019-09-02,7.1
2019-09-03,7.4
2019-09-04,12.6
2019-09-05,3.3
2019-09-06,8.0
2019-09-07,3.0
2019-09-08,3.8
2019-09-09,9.6
2019-09-10,10.2
2019-09-11,7.1
2019-09-12,8.6
2019-09-13,5.3
2019-09-14,9.7
2019-09-15,10.1
2019-09-16,10.3
2019-09-17,4.8
2019-09-18,6.2
2019-09-19,8.4
2019-09-20,12.3
2019-09-21,12.7
2019-09-22,10.9
2019-09-23,6.2
2019-09-24,8.0
2019-09-25,6.7
2019-09-26,9.0
2019-09-27,8.4
2019-09-28,6.4
2019-09-29,3.8
2019-09-30,8.2
2019-10-01,7.0
2019-10-02,4.4
2019-10-03,13.4
2019-10-04,12.9
2019-10-05,10.7
2019-10-06,10.600000000000001
2019-10-07,8.1
2019-10-08,10.9
2019-10-09,7.7
2019-10-10,9.1
2019-10-11,7.2
2019-10-12,6.8
2019-10-13,9.6
2019-10-14,9.1
2019-10-15,9.3
2019-10-16,10.7
2019-10-17,9.4
2019-10-18,7.6
2019-10-19,10.0
2019-10-20,7.4
2019-10-21,3.5
2019-10-22,9.2
2019-10-23,10.45
2019-10-24,22.8
2019-10-25,7.1
2019-10-26,6.3
2019-10-27,8.5
2019-10-28,10.5
2019-10-29,4.8
2019-10-30,12.9
2019-10-31,28.3
2019-11-01,13.6
2019-11-02,7.2
2019-11-03,11.3
2019-11-04,10.5
2019-11-05,8.9
2019-11-06,19.2
2019-11-07,10.0
2019-11-08,12.9
2019-11-09,12.5
2019-11-10,10.2
2019-11-11,9.1
2019-11-12,8.5
2019-11-13,9.5
2019-11-14,7.4
2019-11-15,8.7
2019-11-16,15.9
2019-11-17,22.7
2019-11-18,6.1
2019-11-19,22.9
2019-11-20,11.9
2019-11-21,26.4
2019-11-22,9.1
2019-11-23,14.1
2019-11-24,17.2
2019-11-25,8.9
2019-11-26,8.4
2019-11-27,9.4
2019-11-28,9.3
2019-11-29,9.1
2019-11-30,16.4
2019-12-01,6.7
2019-12-02,20.2
2019-12-03,23.7
2019-12-04,28.6
2019-12-05,27.1
2019-12-06,9.5
2019-12-07,7.8
2019-12-08,6.9
2019-12-09,6.1
2019-12-10,9.1
2019-12-11,10.9
2019-12-12,14.6
2019-12-13,8.2
2019-12-14,8.1
