TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount,Borough,LINES,NETWORK,Zone,x,y
2024-01-06,Saturday,Aldgate,4418,5027,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
2024-01-06,Saturday,Bank,13129,15252,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
2024-01-06,Saturday,Barbican,3401,3604,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
2024-01-06,Saturday,Blackfriars,11145,10414,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
2024-01-06,Saturday,Cannon Street,3702,2991,City of London,"District, Circle",London Underground,1.0,-0.088801035,51.51096254
2024-01-06,Saturday,Chancery Lane,3847,3817,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
2024-01-06,Saturday,Liverpool Street,53216,53704,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
2024-01-06,Saturday,Liverpool Street,53216,53704,City of London,,London Overground,1.0,-0.080013644,51.51752768
2024-01-06,Saturday,Liverpool Street,53216,53704,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
2024-01-06,Saturday,Mansion House,2274,2401,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
2024-01-06,Saturday,Monument,8226,7032,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
2024-01-06,Saturday,Moorgate,9367,11088,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
2024-01-07,Sunday,Aldgate,2844,3318,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
2024-01-07,Sunday,Bank,7264,9114,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
2024-01-07,Sunday,Barbican,2080,2219,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
2024-01-07,Sunday,Blackfriars,6505,6109,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
2024-01-07,Sunday,Cannon Street,2109,1851,City of London,"District, Circle",London Underground,1.0,-0.088801035,51.51096254
2024-01-07,Sunday,Chancery Lane,1813,1836,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
2024-01-07,Sunday,Liverpool Street,33575,34447,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
2024-01-07,Sunday,Liverpool Street,33575,34447,City of London,,London Overground,1.0,-0.080013644,51.51752768
2024-01-07,Sunday,Liverpool Street,33575,34447,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
2024-01-07,Sunday,Mansion House,1611,1633,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
2024-01-07,Sunday,Monument,4882,4342,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
2024-01-07,Sunday,Moorgate,5739,6409,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
2024-01-08,Monday,Aldgate,7049,7818,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
2024-01-08,Monday,Bank,34924,36045,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
2024-01-08,Monday,Barbican,5974,6043,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
2024-01-08,Monday,Blackfriars,11651,11094,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
2024-01-08,Monday,Cannon Street,5184,4653,City of London,"District, Circle",London Underground,1.0,-0.088801035,51.51096254
2024-01-08,Monday,Chancery Lane,9283,9598,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
2024-01-08,Monday,Liverpool Street,58685,59130,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
2024-01-08,Monday,Liverpool Street,58685,59130,City of London,,London Overground,1.0,-0.080013644,51.51752768
2024-01-08,Monday,Liverpool Street,58685,59130,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
2024-01-08,Monday,Mansion House,4751,4993,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
