TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount,Borough
20240124,Wednesday,Blackfriars,18859,18049,City of London
20240124,Wednesday,Cannon Street,8918,7712,City of London
20240124,Wednesday,Chancery Lane,15492,15690,City of London
20240124,Wednesday,Liverpool Street,95870,97365,City of London
20240124,Wednesday,Mansion House,8646,9549,City of London
20240124,Wednesday,Monument,16412,15716,City of London
20240124,Wednesday,Moorgate,47442,52258,City of London
20240125,Thursday,Aldgate,13005,14669,City of London
20240125,Thursday,Bank,65837,69066,City of London
20240125,Thursday,Barbican,10390,10939,City of London
20240125,Thursday,Blackfriars,19612,18907,City of London
20240125,Thursday,Cannon Street,9348,8501,City of London
20240125,Thursday,Chancery Lane,16230,18006,City of London
20240125,Thursday,Liverpool Street,104038,106013,City of London
20240125,Thursday,Mansion House,8534,9329,City of London
20240125,Thursday,Monument,17300,16140,City of London
20240125,Thursday,Moorgate,50001,54744,City of London
20240126,Friday,Aldgate,9540,11484,City of London
20240126,Friday,Bank,38077,41741,City of London
20240126,Friday,Barbican,7990,8285,City of London
20240126,Friday,Blackfriars,15240,15146,City of London
20240126,Friday,Cannon Street,6144,5095,City of London
20240126,Friday,Chancery Lane,10490,11333,City of London
20240126,Friday,Liverpool Street,83510,84517,City of London
20240126,Friday,Mansion House,5826,6369,City of London
20240126,Friday,Monument,12427,11973,City of London
20240126,Friday,Moorgate,30426,34119,City of London
20240127,Saturday,Aldgate,6208,6845,City of London
20240127,Saturday,Bank,17195,19947,City of London
20240127,Saturday,Barbican,4605,4738,City of London
20240127,Saturday,Blackfriars,10273,9427,City of London
20240127,Saturday,Cannon Street,3808,2881,City of London
20240127,Saturday,Chancery Lane,4916,4928,City of London
20240127,Saturday,Liverpool Street,64691,65537,City of London
20240127,Saturday,Mansion House,3200,3429,City of London
20240127,Saturday,Monument,11236,9939,City of London
20240127,Saturday,Moorgate,14073,16682,City of London
20240128,Sunday,Aldgate,4124,4346,City of London
20240128,Sunday,Bank,10526,12031,City of London
20240128,Sunday,Barbican,3221,3373,City of London
20240128,Sunday,Blackfriars,8816,10914,City of London
20240128,Sunday,Cannon Street,1866,1507,City of London
20240128,Sunday,Chancery Lane,2293,2190,City of London
20240128,Sunday,Liverpool Street,40642,40373,City of London
20240128,Sunday,Mansion House,2186,2325,City of London
20240128,Sunday,Monument,7928,7338,City of London
20240128,Sunday,Moorgate,9056,10343,City of London
20240129,Monday,Aldgate,9815,10920,City of London
20240129,Monday,Bank,44822,47070,City of London
20240129,Monday,Barbican,8514,8879,City of London
20240129,Monday,Blackfriars,15370,14637,City of London
20240129,Monday,Cannon Street,6974,6255,City of London
20240129,Monday,Chancery Lane,12349,13251,City of London
20240129,Monday,Liverpool Street,74873,77524,City of London
20240129,Monday,Mansion House,6607,7328,City of London
20240129,Monday,Monument,12606,11884,City of London
20240129,Monday,Moorgate,37342,40305,City of London
20240130,Tuesday,Aldgate,10586,12202,City of London
20240130,Tuesday,Bank,44203,50589,City of London
20240130,Tuesday,Barbican,9763,10299,City of London
20240130,Tuesday,Blackfriars,13995,14132,City of London
20240130,Tuesday,Cannon Street,6553,5988,City of London
20240130,Tuesday,Chancery Lane,12340,16612,City of London
20240130,Tuesday,Liverpool Street,85592,89348,City of London
20240130,Tuesday,Mansion House,8702,8994,City of London
20240130,Tuesday,Monument,15498,14136,City of London
20240130,Tuesday,Moorgate,41152,44159,City of London
20240131,Wednesday,Aldgate,12205,13954,City of London
20240131,Wednesday,Bank,60040,63275,City of London
20240131,Wednesday,Barbican,9277,10448,City of London
20240131,Wednesday,Blackfriars,18111,18602,City of London
20240131,Wednesday,Cannon Street,8875,8163,City of London
20240131,Wednesday,Chancery Lane,15171,16387,City of London
20240131,Wednesday,Liverpool Street,97928,100154,City of London
20240131,Wednesday,Mansion House,8372,9640,City of London
20240131,Wednesday,Monument,16312,15485,City of London
20240131,Wednesday,Moorgate,47531,51182,City of London
20240201,Thursday,Aldgate,13075,14726,City of London
20240201,Thursday,Bank,63376,66609,City of London
20240201,Thursday,Barbican,10242,10870,City of London
20240201,Thursday,Blackfriars,19289,19053,City of London
20240201,Thursday,Cannon Street,9598,8420,City of London
20240201,Thursday,Chancery Lane,15708,17170,City of London
20240201,Thursday,Liverpool Street,102915,102215,City of London
20240201,Thursday,Mansion House,8581,9752,City of London
20240201,Thursday,Monument,17653,16503,City of London
20240201,Thursday,Moorgate,48489,53209,City of London
20240202,Friday,Aldgate,7789,9861,City of London
20240202,Friday,Bank,35606,38044,City of London
20240202,Friday,Barbican,7420,7818,City of London
20240202,Friday,Blackfriars,12882,12523,City of London
20240202,Friday,Cannon Street,5783,4978,City of London
20240202,Friday,Chancery Lane,10027,10760,City of London
20240202,Friday,Liverpool Street,70032,69747,City of London
20240202,Friday,Mansion House,5450,6198,City of London
20240202,Friday,Monument,12103,11207,City of London
20240202,Friday,Moorgate,28865,32433,City of London
20240203,Saturday,Aldgate,6551,8217,City of London
20240203,Saturday,Bank,20030,23405,City of London
20240203,Saturday,Barbican,4924,5257,City of London
20240203,Saturday,Blackfriars,10868,10873,City of London
20240203,Saturday,Cannon Street,3978,3192,City of London
20240203,Saturday,Chancery Lane,4670,4599,City of London
20240203,Saturday,Liverpool Street,59861,59008,City of London
20240203,Saturday,Mansion House,3248,3852,City of London
20240203,Saturday,Monument,14264,13394,City of London
20240203,Saturday,Moorgate,12545,14980,City of London
20240204,Sunday,Aldgate,4829,5496,City of London
20240204,Sunday,Bank,12913,15385,City of London
20240204,Sunday,Barbican,2972,3284,City of London
20240204,Sunday,Blackfriars,6337,5418,City of London
20240204,Sunday,Cannon Street,2286,2214,City of London
20240204,Sunday,Chancery Lane,2493,2513,City of London
20240204,Sunday,Liverpool Street,38792,38771,City of London
20240204,Sunday,Mansion House,2519,2582,City of London
20240204,Sunday,Monument,9901,9095,City of London
20240204,Sunday,Moorgate,7709,8883,City of London
20240205,Monday,Aldgate,9501,10896,City of London
20240205,Monday,Bank,44436,46779,City of London
20240205,Monday,Barbican,8410,8709,City of London
20240205,Monday,Blackfriars,15412,14851,City of London
20240205,Monday,Cannon Street,6963,6177,City of London
20240205,Monday,Chancery Lane,12025,13104,City of London
20240205,Monday,Liverpool Street,74079,76436,City of London
20240205,Monday,Mansion House,7005,7489,City of London
20240205,Monday,Monument,11962,11227,City of London
20240205,Monday,Moorgate,35907,38615,City of London
20240206,Tuesday,Aldgate,12572,13943,City of London
20240206,Tuesday,Bank,61136,64438,City of London
20240206,Tuesday,Barbican,10480,10896,City of London
20240206,Tuesday,Blackfriars,18882,18618,City of London
20240206,Tuesday,Cannon Street,9404,8384,City of London
20240206,Tuesday,Chancery Lane,15984,17209,City of London
20240206,Tuesday,Liverpool Street,96922,98847,City of London
20240206,Tuesday,Mansion House,8818,9838,City of London
20240206,Tuesday,Monument,16761,15676,City of London
20240206,Tuesday,Moorgate,48995,52847,City of London
20240207,Wednesday,Aldgate,12767,14361,City of London
20240207,Wednesday,Bank,61837,64642,City of London
20240207,Wednesday,Barbican,10174,10489,City of London
20240207,Wednesday,Blackfriars,19098,18492,City of London
20240207,Wednesday,Cannon Street,9083,8057,City of London
20240207,Wednesday,Chancery Lane,15517,16950,City of London
20240207,Wednesday,Liverpool Street,96809,98618,City of London
20240207,Wednesday,Mansion House,8659,9801,City of London
20240207,Wednesday,Monument,16247,15944,City of London
20240207,Wednesday,Moorgate,47899,52517,City of London
20240208,Thursday,Aldgate,12795,13951,City of London
20240208,Thursday,Bank,65810,69386,City of London
20240208,Thursday,Barbican,11159,11146,City of London
20240208,Thursday,Blackfriars,20941,20580,City of London
