Site,ReadingDateTime,Value
London N. Kensington (RBKC North Kensington),07/07/2018,24.251041666666666
London N. Kensington (RBKC North Kensington),08/07/2018,13.289583333333333
London N. Kensington (RBKC North Kensington),09/07/2018,14.448958333333332
London N. Kensington (RBKC North Kensington),10/07/2018,10.16304347826087
London N. Kensington (RBKC North Kensington),11/07/2018,12.161458333333334
London N. Kensington (RBKC North Kensington),12/07/2018,16.394791666666666
London N. Kensington (RBKC North Kensington),13/07/2018,16.817708333333332
London N. Kensington (RBKC North Kensington),14/07/2018,14.497916666666667
London N. Kensington (RBKC North Kensington),15/07/2018,11.279166666666667
London N. Kensington (RBKC North Kensington),16/07/2018,12.405208333333334
London N. Kensington (RBKC North Kensington),17/07/2018,8.65
London N. Kensington (RBKC North Kensington),18/07/2018,8.727083333333333
London N. Kensington (RBKC North Kensington),19/07/2018,13.241666666666667
London N. Kensington (RBKC North Kensington),20/07/2018,13.533333333333333
London N. Kensington (RBKC North Kensington),21/07/2018,17.379166666666666
London N. Kensington (RBKC North Kensington),22/07/2018,11.838541666666666
London N. Kensington (RBKC North Kensington),23/07/2018,10.986458333333333
London N. Kensington (RBKC North Kensington),24/07/2018,12.514583333333334
London N. Kensington (RBKC North Kensington),25/07/2018,13.660416666666668
London N. Kensington (RBKC North Kensington),26/07/2018,23.792708333333334
London N. Kensington (RBKC North Kensington),27/07/2018,17.652083333333334
London N. Kensington (RBKC North Kensington),28/07/2018,11.338541666666666
London N. Kensington (RBKC North Kensington),29/07/2018,5.558333333333334
London N. Kensington (RBKC North Kensington),30/07/2018,6.180208333333333
London N. Kensington (RBKC North Kensington),31/07/2018,6.765625
London N. Kensington (RBKC North Kensington),01/08/2018,8.326041666666667
London N. Kensington (RBKC North Kensington),02/08/2018,8.736458333333333
London N. Kensington (RBKC North Kensington),03/08/2018,10.676041666666668
London N. Kensington (RBKC North Kensington),04/08/2018,8.575000000000001
London N. Kensington (RBKC North Kensington),05/08/2018,10.310416666666667
London N. Kensington (RBKC North Kensington),06/08/2018,12.888541666666667
London N. Kensington (RBKC North Kensington),07/08/2018,13.853125
London N. Kensington (RBKC North Kensington),08/08/2018,8.06875
London N. Kensington (RBKC North Kensington),09/08/2018,8.46875
London N. Kensington (RBKC North Kensington),10/08/2018,6.238541666666666
London N. Kensington (RBKC North Kensington),11/08/2018,6.4156249999999995
London N. Kensington (RBKC North Kensington),12/08/2018,5.4281250000000005
London N. Kensington (RBKC North Kensington),13/08/2018,7.932291666666667
London N. Kensington (RBKC North Kensington),14/08/2018,8.532291666666667
London N. Kensington (RBKC North Kensington),15/08/2018,9.269791666666666
London N. Kensington (RBKC North Kensington),16/08/2018,8.001041666666667
London N. Kensington (RBKC North Kensington),17/08/2018,8.9625
London N. Kensington (RBKC North Kensington),18/08/2018,9.389583333333333
London N. Kensington (RBKC North Kensington),19/08/2018,8.042708333333334
London N. Kensington (RBKC North Kensington),20/08/2018,6.5562499999999995
London N. Kensington (RBKC North Kensington),21/08/2018,6.4624999999999995
London N. Kensington (RBKC North Kensington),22/08/2018,9.513541666666667
London N. Kensington (RBKC North Kensington),23/08/2018,7.16875
London N. Kensington (RBKC North Kensington),24/08/2018,7.397916666666666
London N. Kensington (RBKC North Kensington),25/08/2018,6.879166666666666
London N. Kensington (RBKC North Kensington),26/08/2018,6.815625
