Date,NO_weighted_value(ug m-3)
2019-04-23,9.7
2019-04-24,22.5
2019-04-25,0.0
2019-04-26,4.3
2019-04-27,3.8
2019-04-28,21.4
2019-04-29,39.8
2019-04-30,27.9
2019-05-01,12.4
2019-05-02,29.0
2019-05-03,30.7
2019-05-04,25.1
2019-05-05,2.0
2019-05-06,0.9
2019-05-07,0.0
2019-05-08,3.9
2019-05-09,4.6
2019-05-10,8.9
2019-05-11,32.2
2019-05-12,6.5
2019-05-13,6.0
2019-05-14,32.6
2019-05-15,40.5
2019-05-16,4.8
2019-05-17,4.2
2019-05-18,31.1
2019-05-19,35.1
2019-05-20,4.6
2019-05-21,36.8
2019-05-22,7.1
2019-05-23,0.0
2019-05-24,48.5
2019-05-25,17.2
2019-05-26,0.9
2019-05-27,5.6
2019-05-28,28.6
2019-05-29,0.0
2019-05-30,0.0
2019-05-31,0.0
2019-06-01,0.0
2019-06-02,5.2
2019-06-03,0.0
2019-06-04,27.1
2019-06-05,0.0
2019-06-06,0.0
2019-06-07,24.7
2019-06-08,0.0
2019-06-09,3.9
2019-06-10,44.3
2019-06-11,9.1
2019-06-12,11.2
2019-06-13,4.9
2019-06-14,2.5
2019-06-15,4.0
2019-06-16,0.0
2019-06-17,0.0
2019-06-18,11.9
2019-06-19,19.2
2019-06-20,0.0
2019-06-21,21.7
2019-06-22,0.0
2019-06-23,4.2
2019-06-24,8.0
2019-06-25,14.5
2019-06-26,5.9
2019-06-27,21.9
2019-06-28,5.2
2019-06-29,6.1
2019-06-30,6.4
2019-07-01,17.6
2019-07-02,29.70153662352525
2019-07-03,33.1
2019-07-04,29.2
2019-07-05,22.523291750157206
2019-07-06,31.236663306836306
2019-07-07,16.3
2019-07-08,17.646942081235707
2019-07-09,25.2
2019-07-10,5.0
2019-07-11,8.3
2019-07-12,42.30777439675522
2019-07-13,17.3
2019-07-14,21.25046134605978
2019-07-15,29.616125268709933
2019-07-16,13.872384211506905
2019-07-17,3.8
2019-07-18,5.8
2019-07-19,13.948503326423447
2019-07-21,0.0
2019-07-22,0.0
2019-07-23,44.8
2019-07-24,7.0
2019-07-25,26.9559683146057
2019-07-26,7.237093309921638
2019-07-27,21.876199614098258
2019-07-28,4.8
2019-07-29,3.5
2019-07-30,14.7
2019-07-31,2.773751070385202
2019-08-01,16.340735722101368
2019-08-02,38.4
2019-08-03,16.1
2019-08-04,9.8
2019-08-05,8.06601637243868
2019-08-06,2.5
2019-08-07,4.047875269075711
2019-08-08,4.7
2019-08-09,2.9
2019-08-10,3.2
2019-08-11,1.7
2019-08-12,21.14795409432413
2019-08-13,8.311450681469731
2019-08-14,18.5
2019-08-15,8.3
2019-08-16,5.1
2019-08-17,0.0
2019-08-18,2.2
2019-08-21,4.1
2019-08-22,1.2
2019-08-23,22.085688973062727
2019-08-24,29.39799742106593
2019-08-25,16.456820468934747
2019-08-26,12.9
2019-08-27,17.8
2019-08-28,5.366668360733849
2019-08-29,4.685921719760548
2019-08-30,8.9
2019-08-31,4.5
2019-09-01,2.936035040990593
2019-09-02,5.4
2019-09-03,3.5
2019-09-04,0.0
2019-09-05,16.685531458779092
2019-09-06,5.0
2019-09-07,40.6
2019-09-08,14.38718766258335
2019-09-09,3.9
2019-09-10,11.4
2019-09-11,3.5
2019-09-12,2.3
2019-09-13,37.5
2019-09-14,28.1
2019-09-15,10.7
2019-09-16,26.4
2019-09-17,14.396751853686244
