Date,NO_weighted_value(ug m-3)
2019/12/13,30.6
2019/12/14,9.2
2019/12/15,1.7
2019/12/16,10.3
2019/12/17,11.5
2019/12/18,5.9
2019/12/19,3.2
2019/12/20,7.5
2019/12/21,2.8
2019/12/22,7.2
2019/12/23,9
2019/12/24,6.5
2019/12/25,17.2
2019/12/26,10
2019/12/27,19.1
2019/12/28,5.1
2019/12/29,3.9
2019/12/30,21.7
2019/12/31,24.1
2020/1/1,15
2020/1/2,2
2020/1/3,22.4
2020/1/4,16.1
2020/1/5,3
2020/1/6,3.3
2020/1/7,2.5
2020/1/8,9.2
2020/1/9,2.2
2020/1/10,10.4
2020/1/11,1.1
2020/1/12,4.5
2020/1/13,2.2
2020/1/14,1.7
2020/1/15,7.3
2020/1/16,3
2020/1/17,9.4
2020/1/18,23.3
2020/1/19,16.7
2020/1/20,72.1
2020/1/21,92.3
2020/1/22,21.16
2020/1/23,20.6
2020/1/24,19.7
2020/1/25,3.4
2020/1/26,2.2
2020/1/27,3.8
2020/1/28,13.7
2020/1/29,8.4
2020/1/30,6.1
2020/1/31,2.3
2020/2/1,6.6
2020/2/2,5
2020/2/3,18.4
2020/2/4,22.7
2020/2/5,24.2
2020/2/6,48.1
2020/2/7,24.3
2020/2/8,2
2020/2/9,1.9
2020/2/10,12.4
2020/2/11,13
2020/2/12,7.9
2020/2/13,27.2
2020/2/14,14.6
2020/2/15,1.3
2020/2/16,1.8
2020/2/17,8.9
2020/2/18,6.2
2020/2/19,14.1
2020/2/20,17.4
2020/2/21,2.5
2020/2/22,10.7
2020/2/23,14.8
2020/2/24,8.2
2020/2/25,16.4
2020/2/26,33.9
2020/2/27,18.3
2020/2/28,3.2
2020/2/29,7.3
2020/3/1,3.3
2020/3/2,16.5
2020/3/3,36.4
2020/3/4,8.6
2020/3/5,11.7
2020/3/6,20.2
2020/3/7,5.8
2020/3/8,1.9
2020/3/9,11.2
2020/3/10,13.6
2020/3/11,11
2020/3/12,13.7
2020/3/13,25.2
2020/3/14,1.8
2020/3/15,14.1
2020/3/16,22.9
2020/3/17,2
2020/3/18,2.2
2020/3/19,5.2
2020/3/20,3.4
2020/3/21,4.8
2020/3/22,4.9
2020/3/23,12.9
2020/3/24,2.1
2020/3/25,14.9
2020/3/26,4.9
2020/3/27,2.9
2020/3/28,1.8
2020/3/29,1.6
2020/3/30,3.3
2020/3/31,4.1
2020/4/1,3.3
2020/4/2,42.8
2020/4/3,14.5
2020/4/4,1.5
2020/4/5,1.2
2020/4/6,17.6
2020/4/7,5.6
2020/4/8,6
2020/4/9,7.9
2020/4/10,6.8
2020/4/11,7
2020/4/12,2.1
2020/4/13,1.8
2020/4/14,2.4
2020/4/15,4
2020/4/16,5.1
2020/4/17,3.3
2020/4/18,3
2020/4/19,2.1
2020/4/20,3
2020/4/21,2.8
2020/4/22,3.2
2020/4/23,3.8
2020/4/24,2.9
2020/4/25,3.3
2020/4/26,1.5
2020/4/27,6
2020/4/28,3
2020/4/29,1.4
2020/4/30,1.2
2020/5/1,14.6
2020/5/2,15.5
2020/5/3,1.5
2020/5/4,2.6
2020/5/5,3.5
2020/5/6,2.7
2020/5/7,3.8
2020/5/8,1.3
2020/5/9,2.2
2020/5/10,1.7
